memberID,id,type,typeId,title,organisation,startMonth,startYear,endMonth,endYear
225,678,Non political,1,Various positions up to Director of Public Affairs,Royal Institute of British Architects,,1966.0,,1973.0
225,677,Political,3,Member,Devon & Cornwall Police Authority,,1965.0,,1970.0
225,676,Political,3,County Councillor,Devon County Council,,1964.0,,1970.0
228,4789,Public life,2,Visiting Senior Fellow,Cambridge University Planning School,,2016.0,,
228,4790,Public life,2,Hon. Member RTPI,Royal Town Planning Institute,,2016.0,,
228,4788,Public life,2,Visiting Professor of Planning,Plymouth University Planning School,,2015.0,,
228,4786,Non political,1,Chairman,Kensa Heat Pumps Ltd,,2012.0,,
228,5315,Political,3,Chair ,Planning Practice Guidance Review,,2011.0,,2012.0
228,4787,Non political,1,Chairman,Carclaze Garden Village Strategic Board,,2010.0,,
228,1272,Non political,1,Chairman,National Housing Federation,,2009.0,,2015.0
228,1274,Non political,1,Director,South West Water,,2009.0,,
228,1275,Non political,1,Founder Director,Taylor & Garner Ltd,,2009.0,,
228,1276,Public life,2,Founder/Chair,Rural Coalition,,2009.0,,2012.0
228,5314,Political,3,Chair,Rural Economy and Housing Review ,,2007.0,,2008.0
248,5677,Public life,2,Patron,Wiltshire Wildlife Trust,,2020.0,,
248,5676,Public life,2,President,Overbury Cricket Club,,2018.0,,
248,5233,Political,3,Councillor,Gloucestershire County Council,,1989.0,,1993.0
258,4438,Public life,2,Officier de la Legion d'Honneur ,French Government,,2017.0,,
258,4437,Public life,2,Author,'Game of Spies',,2016.0,,2016.0
258,1150,Public life,2,President,UNICEF UK,,2009.0,,2015.0
258,2661,Public life,2,International Community High Representative and European Special Representative,Bosnia and Herzegovina,,2002.0,,2006.0
259,4782,Public life,2,Grand Prior,Order of Saint Lazarus of Jerusalem,,2013.0,,
259,4781,Public life,2,Freeman,Devizes,,2011.0,,
259,4780,Public life,2,Freeman,City of Gibraltar ,,2010.0,,
259,4779,Non political,1,Chairman,Global Strategy Forum,,2006.0,,
259,4777,Non political,1,Advocate (QC),,,1970.0,,1979.0
267,619,Public life,2,Chief Steward,City of Hereford,,2009.0,,
267,485,Public life,2,Knight (Netherlands),Order of Orange-Nassau,,2007.0,,
267,484,Public life,2,President ,St Catherine's College Cambridge Society ,,2003.0,,2004.0
267,483,Public life,2,President ,Iran Society,,1995.0,,2009.0
267,620,Public life,2,Member Council ,Wilton Park Conference Centre,,1990.0,,1997.0
267,482,Non political,1,Solicitor ,Law Society,,1989.0,,
267,621,Public life,2,Council Member ,Malvern College,,1978.0,,2002.0
267,481,Non political,1,Barrister,Inner Temple,,1962.0,,1977.0
270,2817,Non political,1,Chairman,Energy UK,,2012.0,,
270,2816,Non political,1,Chairman/President,Association of Electricity Producers,,1991.0,,2012.0
276,6292,Public life,2,Board Member,	Birmingham City University,,2022.0,,
276,2353,Public life,2,Chancellor,Leicester University,,2013.0,,2018.0
276,2354,Public life,2,Chairman,Hansard Society,,2012.0,,2015.0
276,965,Public life,2,Board Member,Birmingham City University,,2010.0,,2018.0
276,964,Non political,1,Presenter/Producer,Central Television,,1979.0,,1987.0
281,258,Non political,1,Radiographer,National Health Service,,1952.0,,1980.0
282,2910,Public life,2,Deputy Lieutenant of Staffordshire,,,2010.0,,
282,4717,Public life,2,Fellow,Royal Historical Society ,,2010.0,,
282,4718,Public life,2,Hon Fellow,Historical Association,,2010.0,,
282,5401,Public life,2,Honorary Degree (Doctor of Letters),University of Hull,,2010.0,,
282,5402,Public life,2,Honorary Degree (Doctor of Laws),Catholic University of America,,2010.0,,
282,4710,Non political,1,Life President,The House Magazine ,,2005.0,,
282,2912,Public life,2,Member,Council on National Records and Archives,,2003.0,,2006.0
282,2909,Public life,2,Member,General Synod Church of England,,1995.0,,2005.0
282,4714,Public life,2,Senior Associate Member,"St. Antony's College, Oxford",,1995.0,,
282,4713,Public life,2,Visiting Parliamentary Fellow,"St. Antony's College, Oxford",,1994.0,,1995.0
282,4716,Public life,2,Vice President,Society of Antiquaries ,,1994.0,,1997.0
282,2907,Non political,1,Chairman,"Aitken Dott, The Scottish Gallery",,1983.0,,1989.0
282,2906,Non political,1,Director,Historic House Hotels,,1981.0,,1989.0
282,2908,Public life,2,Commissioner,Royal Commission on Historic Manuscripts,,1981.0,,2003.0
282,2911,Public life,2,Member,Historic Buildings Council,,1979.0,,1984.0
282,3241,Non political,1,Chairman/President,All Party Arts and Heritage Group,,1979.0,,
282,4711,Non political,1,Editor,The House Magazine ,,1979.0,,2005.0
282,4715,Public life,2,Fellow,Society of Antiquaries ,,1978.0,,
282,4712,Non political,1,"Chairman, Editorial Board",The House Magazine ,,1976.0,,
282,2913,Public life,2,Founder and Chairman,Heritage Matters,,1974.0,,
282,2905,Non political,1,Head of History,"Brewood Grammar School, Staffs",,1969.0,,1970.0
282,2904,Non political,1,Ass. Housemaster,Wrekin College Shropshire,,1967.0,,1969.0
282,2903,Non political,1,Second Master,St. James's School Grimsby,,1961.0,,1966.0
296,6293,Public life,2,First Civil Service Commissioner,Civil Service Commission,,2022.0,,
296,6294,Public life,2,Chair,Royal Mint Advisory Committee on Coins and Medals,,2021.0,,
296,6295,Public life,2,Hon Captain,Royal Navy,,2021.0,,
296,5595,Public life,2,Lead NED,Cabinet Office Board,,2020.0,,
296,5594,Public life,2,Chair,Wilton Park,,2017.0,,
296,5599,Public life,2,President,Birmingham Bach Choir,,2015.0,,
296,5597,Public life,2,Trustee,Reading Force,,2014.0,,
296,5598,Public life,2,Director,Henry Jackson Society ,,2010.0,,
296,5596,Non political,1,Editor,House Magazine,,2005.0,,2017.0
302,3173,Public life,2,Chair,Food Standards Agency,,2009.0,,2013.0
305,6016,Public life,2,Trustee,Royal Institution,,2022.0,,
305,3864,Public life,2,Trustee,The Poetry Archive,,2013.0,,
305,3865,Public life,2,Chair,"Goldsmiths College, University of London",,2012.0,,2018.0
305,3863,Public life,2,Board Member,The Roundhouse,,2008.0,,2013.0
305,6018,Public life,2,Trustee,Sunderland AFL Foundation ,,2008.0,,
305,582,Public life,2,Chair,"National Coal Mining Museum, England",,2007.0,,2012.0
305,583,Public life,2,Trustee,Paul Hamlyn Foundation,,2005.0,,2016.0
305,585,Public life,2,Council Member,"Goldsmiths College, University of London",,2005.0,,2011.0
305,6017,Public life,2,Chair,APS UK,,2005.0,,
305,580,Political,3,Labour Group Leader,Warwick District Council,,1981.0,,1992.0
305,579,Political,3,Local Councillor,Warwick District Council,,1979.0,,1991.0
305,581,Non political,1,Teacher, ,,1974.0,,1992.0
315,5640,Public life,2,President,Kaleidoscope Trust,,2020.0,,
315,5639,Public life,2,President,Mildmay Hospital,,2019.0,,
315,5641,Public life,2,"Honorary Degree, Degree of Doctor of Letters",University of Hull,,2019.0,,
315,5263,Public life,2,Patron,British HIV Association (BHIVA),12.0,2011.0,,
322,17,Public life,2,President,Bilston Community Association,,1987.0,,
322,16,Non political,1,Chairman,Springvale Cooperative Ltd,,1981.0,,2007.0
322,18,Public life,2,President,Springvale Cricket Club,,1981.0,,
322,19,Public life,2,Trustee Secretary,Bradbury Senior Citizen Organisation,,1971.0,,
322,20,Political,3,Councillor,Wolverhampton City Council,,1966.0,,1986.0
346,249,Public life,2,Chairman,Conservative Group for Europe,1.0,2005.0,,2008.0
346,247,Non political,1,Member of Council,Lloyd's of London,,2004.0,,2008.0
346,246,Non political,1,Director,Vinci SA,,1998.0,,2008.0
346,248,Public life,2,Trustee and Member of Executive Committee,Centre for Economic Policy Research,1.0,1996.0,,2008.0
346,244,Non political,1,Director (Main Board) and Head of European Corporate Finance,Morgan Grenfell and Co. Ltd (Investment Bank),,1974.0,,1987.0
384,4567,Public life,2,Vice President,National Association of Child Contact Centres,,2017.0,,
384,4565,Public life,2,Vice President,National Encephalitis Society,,2016.0,,
384,4566,Public life,2,President,North Yorkshire Moore Railway,,2016.0,,
384,4563,Non political,1,Strategic Advisor,Anne McIntosh Consulting Ltd,,2015.0,,
384,4564,Public life,2,Vice President,Association of Drainage Authorities,,2014.0,,
384,4561,Political,3,MEP,North Essex and South Suffolk,,1994.0,,1999.0
384,4560,Political,3,MEP,North East Essex,,1989.0,,1994.0
384,4562,Non political,1,Non Practising Advocate,Faculty of Advocates,,1982.0,,
445,4220,Public life,2,Govenor,Westminster Foundation for Democracy,,2012.0,,2015.0
445,4216,Political,3,Vice President,Local Govt. Association,,1997.0,,2010.0
445,4215,Political,3,Councillor,Stockport M.B.C.,,1994.0,,2002.0
445,4219,Non political,1,Head of Service,Association of Liberal Democrat Councillors,,1989.0,,1997.0
445,4214,Political,3,Vice Chair,Association of County Councils,,1985.0,,1990.0
445,4218,Non political,1,Political Secretary,Association of Liberal Democrat Councillors,,1985.0,,1989.0
445,4213,Political,3,Councillor,Cheshire County Council,,1981.0,,1991.0
445,4212,Political,3,Councillor,Chester City Council,,1979.0,,1990.0
445,4217,Non political,1,Architectural Assistant,"CWS Manchester, Runcorn New Town and Freelance",,1965.0,,1985.0
452,5834,Public life,2,Chair of Council (Pro Chancellor),University of Salford,,2018.0,,
452,4647,Public life,2,"Chair, Member and Trustee","Link Learning Trust, Chorlton, Manchester`",,2017.0,,2020.0
452,3796,Public life,2,Non-executive Director,Pennine Care NHS Foundation Trust,,2015.0,,2018.0
452,3788,Non political,1,Honorary Special Adviser,University of Manchester,,2013.0,,
452,3790,Public life,2,Chair,"Bury, Tameside and Glossop Lift Company",,2013.0,,
452,3792,Public life,2,Chair,The Christie NHS Foundation Trust,,2011.0,,2014.0
452,3794,Public life,2,Trustee,Centre for Mental Health,,2011.0,,
452,3795,Public life,2,Trustee,Prison Reform Trust,,2011.0,,
452,3787,Non political,1,Associate Vice-President,University of Manchester,,2010.0,,2013.0
452,3789,Public life,2,Chair,"Manchester, Salford and Trafford Lift Company",,2007.0,,
452,3791,Public life,2,Non-executive Director,The Christie NHS Foundation Trust,,2007.0,,2011.0
452,3793,Public life,2,Council Member,Medical Protection Society,,2007.0,,2015.0
452,3786,Non political,1,Special Adviser,University of Manchester,,2005.0,,2010.0
452,3785,Political,3,Local Councillor,Manchester City Council,,1983.0,,1988.0
457,4436,Public life,2,Author,'Taking it on the Chin' (Memoir),,2016.0,,2016.0
457,2994,Non political,1,President,Football Foundation,,2003.0,,
457,2993,Non political,1,Chairman,Football Foundation,,2001.0,,2003.0
457,2996,Non political,1,Chairman,All-Party Parliamentary Group Sports,,1998.0,,2013.0
457,2992,Non political,1,Chairman,Football Trust,,1997.0,,2000.0
457,2995,Non political,1,Chairman,All-Party Parliamentary Group Football,,1980.0,,1992.0
457,2990,Political,3,Undersecretary of State,Northern Ireland,,1978.0,,1979.0
457,2989,Political,3,Local Councillor,"Paddington Council, London",,1960.0,,1963.0
457,2991,Political,3,Trade Union Official,National Union of Public Employees,,1960.0,,1970.0
459,6373,Political,3,Assistant Deputy Mayor of Greater Manchester,Greater Manchester Authority,,2023.0,,
459,5343,Public life,2,Honorary Professor of Politics ,University of Manchester,,2018.0,,
459,5344,Public life,2,Trustee,M20 Learning Trust,,2018.0,,2022.0
459,4645,Political,3,"Deputy Mayor for Greater Manchester (Police, Crime & Fire)",Greater Manchester Combined Authority,,2017.0,,2023.0
459,3329,Political,3,Chair of Council,University of Salford Council,,2014.0,,2017.0
459,335,Public life,2,Trustee,Lowry Theatre,,2010.0,,
459,3330,Public life,2,Non Executive Director,The Lowry Theatre Company,,2010.0,,
459,3331,Public life,2,Non Executive Director,Greater Manchester Chamber of Commerce,,2010.0,,
459,3332,Political,3,Strategic Policy Advisor,Greater Manchester Chamber of Commerce,,2010.0,,2017.0
459,4646,Political,3,Non Executive Director,Greater Manchester Chamber of Commerce,,2010.0,,
459,3335,Public life,2,Various Ministerial Positions,Government,,1998.0,,2009.0
459,3334,Public life,2,Member of Parliament,Stretford and Urmston,,1997.0,,2010.0
459,331,Public life,2,Leader,Trafford Metropolitan Council,,1995.0,,1997.0
459,332,Non political,1,Senior Lecturer and Head of Department,"Department of Social Policy, University of Manchester",,1995.0,,1997.0
459,3333,Public life,2,Elected Councillor,Trafford Metropolitan Council,,1986.0,,1997.0
459,333,Non political,1,Researcher and Lecturer,University of Manchester,,1976.0,,1997.0
459,334,Non political,1,Probation Officer,Merseyside Probation Service,,1971.0,,1976.0
478,6048,Non political,1,Chair,Frank Field Education Trust,,2015.0,,2022.0
478,6051,Public life,2,Patron,Feeding Britain,,2015.0,,
478,6052,Public life,2,Patron,Queen's Green Canopy,,2015.0,,
478,6053,Public life,2,Patron,Queen's Commonwealth Canopy,,2015.0,,
478,6047,Non political,1,Chair,King James Bible 400th Anniversary,,2011.0,,
478,6050,Public life,2,Trustee,Cool Earth,,2007.0,,
478,6046,Non political,1,Chair,Cathedral Fabrics Commission for England,,2005.0,,2015.0
478,6049,Non political,1,Director,Medicash,,2003.0,,2021.0
478,6045,Non political,1,Chair,Churches Conservation Trust,,2001.0,,2011.0
478,6044,Political,3,Local Councillor,Hounslow Council,,1964.0,,1968.0
488,1323,Public life,2,Patron,National Dance Teachers Association,,1999.0,,
488,1322,Public life,2,Patron,MS Society North West,,1990.0,,1996.0
488,3721,Public life,2,President/Director,Southport Offshore Lifeboat Association,,1987.0,,2015.0
488,1321,Public life,2,Patron,Osteoporosis Society North West,,1980.0,,1990.0
488,1424,Non political,1,Chairman,Royal Institute of Bankers North West Region,,1978.0,,1978.0
488,3716,Political,3,County Councillor,Merseyside County Council,,1974.0,,1984.0
488,1316,Public life,2,Leader of the Liberal Democrat Party,Merseyside County Council,,1973.0,,1978.0
488,1320,Public life,2,Patron,Carers Association North West,,1973.0,,1988.0
488,1312,Political,3,Councillor,Merseyside County Council,,1970.0,,1974.0
488,1317,Public life,2,Chairman,Southport Liberal Association,,1970.0,,1980.0
488,3720,Public life,2,President ,Sue Ryder Association,,1970.0,,1985.0
488,3718,Public life,2,Chairman,Norwood School,,1968.0,,1978.0
488,3719,Public life,2,Chairman,King George V College,,1968.0,,1972.0
488,3724,Public life,2,Chairman/Leader,All Souls Youth Club,,1968.0,,1990.0
488,1310,Political,3,Local Councillor,Sefton MBC,,1963.0,,2016.0
488,1311,Political,3,Councillor,Southport CBC,,1963.0,,1974.0
488,1319,Public life,2,Chairman,Gladstone Club,,1960.0,,1970.0
488,1318,Public life,2,Youth Leader,All Souls Church,,1950.0,,1971.0
488,3725,Public life,2,Chairman,All Souls Dramatic Club,,1950.0,,1990.0
488,3717,Non political,1,Manager,Royal Bank of Scotland,,1947.0,,1987.0
488,1313,Non political,1,Bank Clerk,Williams Deacon's Bank Ltd,,1946.0,,1987.0
488,1314,Non political,1,Pro Manager,Williams and Glyn's Bank Ltd,,1946.0,,1987.0
488,1422,Non political,1,Banker,Royal Bank of Scotland,,1946.0,,1987.0
499,2027,Public life,2,Shadow Ministerial Post,Agriculture,,1991.0,,1993.0
499,2026,Public life,2,Shadow Ministerial Post,Overseas Development,,1989.0,,1991.0
499,2024,Public life,2,Member of Parliament,Workington Constituency ,,1979.0,,2001.0
499,2023,Political,3,Councillor,Ramsbottom Urban District Council,,1970.0,,1973.0
499,2025,Non political,1,Founder,Campbell Savours and Company,,1965.0,,1976.0
513,5818,Public life,2,President,Anglo-Swedish Society,,2020.0,,
513,4198,Public life,2,President,National Liberal Club,,2010.0,,
513,4516,Public life,2,Member,Committee of Privy Councillors to Review Use of Intercept as Evidence,,2008.0,,2014.0
513,4197,Public life,2,President,North of England Civic Trust,,2007.0,,2020.0
513,4196,Public life,2,"Chairman, later President",Historic Chapels Trust,,2003.0,,
513,4515,Political,3,Member,Hexham Rural District Council and Tynedale District Council,,1969.0,,1975.0
513,4195,Non political,1,Lecturer,University of Newcastle-Upon-Tyne,,1966.0,,1973.0
518,879,Public life,2,Member,"Court, University of Newcastle",,2011.0,,2011.0
518,878,Public life,2,Member,Durham Cathedral Council,,2009.0,,
518,880,Public life,2,President,Northumbrian Pipers Society,,2009.0,,
518,877,Public life,2,Chair,Franco-British Council,,2007.0,,
518,874,Political,3,MEP,European Parliament,,1979.0,,1989.0
518,876,Non political,1,Lecturer and Tutor,University of Durham,,1977.0,,1979.0
518,875,Non political,1,Lecturer,University of Bath,,1972.0,,1976.0
525,3633,Non political,1,Professor of History and Politics,University of Huddersfield,,2015.0,,
525,136,Public life,2,Hon Fellow,University of Cumbria,,2009.0,,
525,134,Public life,2,Chairman,Lake District National Park Partnership,,2006.0,,
525,135,Public life,2,Chairman,Lake District National Park World Heritage Bid,,2005.0,,
525,132,Non political,1,Director,Carlisle United Football Club,,2002.0,,
